,bairro/cidade,rua,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,bairro,cidade
496,"Aldeota, Fortaleza",Rua Padre Valdevino,"Apartamento para comprar 
Aldeota, Fortaleza",130,3,2,2,R$ 360.000,Cond. R$ 850 • IPTU R$ 1.914,Aldeota, Fortaleza
497,"Aldeota, Fortaleza",Rua Eduardo Garcia,"Apartamento para comprar 
Aldeota, Fortaleza",125,3,4,1,R$ 595.000,Cond. R$ 1.200,Aldeota, Fortaleza
498,"Cocó, Fortaleza",,"Apartamento para comprar 
Cocó, Fortaleza",81,3,3,2,R$ 830.000,Cond. R$ 1.278 • IPTU R$ 1.499,Cocó, Fortaleza
499,"Cambeba, Fortaleza",Avenida Viena Weyne,"Casa para comprar 
Cambeba, Fortaleza",819,9,7,8,R$ 1.999.000,0,Cambeba, Fortaleza
500,"Meireles, Fortaleza",Rua Antônio Augusto,"Apartamento para comprar 
Meireles, Fortaleza",92,2,2,2,R$ 899.000,Cond. R$ 750 • IPTU R$ 150,Meireles, Fortaleza
501,"Meireles, Fortaleza",Rua Coronel Linhares,"Apartamento para comprar 
Meireles, Fortaleza",600,3,5,3,R$ 999.000,Cond. R$ 3.600,Meireles, Fortaleza
502,"Guararapes, Fortaleza",Rua José Otoch,"Apartamento para comprar 
Guararapes, Fortaleza",142,3,4,3,R$ 970.000,0,Guararapes, Fortaleza
503,"Aldeota, Fortaleza",Avenida Rui Barbosa,"Apartamento para comprar 
Aldeota, Fortaleza",67,2,2,1,R$ 774.000,Cond. R$ 10,Aldeota, Fortaleza
504,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Coronel Francisco Flávio Carneiro,"Apartamento para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",144,4,4,3,R$ 1.250.000,Cond. R$ 1.200 • IPTU R$ 2.000,Engenheiro Luciano Cavalcante, Fortaleza
505,"Meireles, Fortaleza",Rua Canuto de Aguiar,"Apartamento para comprar 
Meireles, Fortaleza",253,4,5,4,R$ 2.899.900,Cond. R$ 3.000,Meireles, Fortaleza
