,bairro/cidade,rua,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,bairro,cidade
963,"Messejana, Fortaleza",Rua Aveledo,"Apartamento para comprar 
Messejana, Fortaleza",54.0,3,3,1,300000.0,455.0,Messejana, Fortaleza
964,"Engenheiro Luciano Cavalcante, Fortaleza",Avenida Comodoro Estácio Brígido,"Apartamento para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",60.0,3,2,1,380000.0,900.0,Engenheiro Luciano Cavalcante, Fortaleza
965,"Montese, Fortaleza",Rua Professor Teodorico,"Casa para comprar 
Montese, Fortaleza",294.0,2,2,2,700000.0,0.0,Montese, Fortaleza
966,"Meireles, Fortaleza",Rua Joaquim Nabuco,"Apartamento para comprar 
Meireles, Fortaleza",144.0,3,4,2,470000.0,2050.0,Meireles, Fortaleza
967,"Dionisio Torres, Fortaleza",Avenida Desembargador Moreira,"Apartamento para comprar 
Dionisio Torres, Fortaleza",79.0,3,2,1,350000.0,960.0,Dionisio Torres, Fortaleza
968,"Meireles, Fortaleza",Rua Antônio Augusto,"Apartamento para comprar 
Meireles, Fortaleza",110.0,3,4,2,1030000.0,990.0,Meireles, Fortaleza
969,"Guararapes, Fortaleza",Avenida Coronel Miguel Dias,"Apartamento para comprar 
Guararapes, Fortaleza",145.0,3,3,3,1200000.0,1.0,Guararapes, Fortaleza
970,"Parreão, Fortaleza",Rua Tertuliano Sales,"Apartamento para comprar 
Parreão, Fortaleza",84.0,2,3,1,299000.0,860.0,Parreão, Fortaleza
971,"Sapiranga, Fortaleza",Rua Coronel Olegário Memória,"Casa para comprar 
Sapiranga, Fortaleza",150.0,4,2,2,620000.0,0.0,Sapiranga, Fortaleza
972,"Jardim Cearense, Fortaleza",Rua Emílio Sá,"Apartamento para comprar 
Jardim Cearense, Fortaleza",64.0,3,4,1,280000.0,550.0,Jardim Cearense, Fortaleza
973,"Monte Castelo, Fortaleza",Rua Doutor Almeida Filho,"Apartamento para comprar 
Monte Castelo, Fortaleza",50.0,2,2,1,330807.0,0.0,Monte Castelo, Fortaleza
974,"Aldeota, Fortaleza",Rua Marcos Macêdo,"Apartamento para comprar 
Aldeota, Fortaleza",140.0,3,3,2,1400000.0,1100.0,Aldeota, Fortaleza
975,"Parque Iracema, Fortaleza",Rua Fausto Aguiar,"Apartamento para comprar 
Parque Iracema, Fortaleza",40.0,2,1,1,225000.0,360.0,Parque Iracema, Fortaleza
976,"Edson Queiroz, Fortaleza",Travessa Contaneide,"Apartamento para comprar 
Edson Queiroz, Fortaleza",30.0,1,1,1,380000.0,0.0,Edson Queiroz, Fortaleza
977,"Meireles, Fortaleza",Avenida Rui Barbosa,"Apartamento para comprar 
Meireles, Fortaleza",126.0,3,1,2,760000.0,1360.0,Meireles, Fortaleza
